epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,21700.5,0.39792,0.23178,0.93402,0.95869,0.93143,0.95926,0.79195,0.79933,0.42736,1.3652,0.00109,0.00109,0.00109
92,21830.1,0.38726,0.2237,0.93811,0.95059,0.93343,0.95539,0.78796,0.80724,0.43728,1.37423,0.000991,0.000991,0.000991
93,21959,0.37622,0.21594,0.92711,0.95518,0.93173,0.95656,0.78933,0.80637,0.43611,1.37454,0.000892,0.000892,0.000892
94,22089.4,0.37622,0.21523,0.92678,0.95194,0.92959,0.95859,0.79317,0.80701,0.43026,1.37743,0.000793,0.000793,0.000793
95,22219.4,0.3649,0.21092,0.92474,0.95182,0.93688,0.95973,0.79749,0.80444,0.43267,1.3768,0.000694,0.000694,0.000694
96,22349.9,0.35545,0.20631,0.91807,0.94787,0.93498,0.95726,0.79641,0.80197,0.43597,1.3843,0.000595,0.000595,0.000595
97,22480.2,0.35361,0.2019,0.91178,0.94715,0.93273,0.95844,0.79576,0.80412,0.43406,1.38999,0.000496,0.000496,0.000496
98,22609.6,0.34855,0.20174,0.90867,0.94833,0.93141,0.95721,0.79568,0.80427,0.44042,1.39008,0.000397,0.000397,0.000397
99,22739.7,0.34167,0.19686,0.90472,0.94933,0.9318,0.95789,0.79544,0.80426,0.43637,1.38875,0.000298,0.000298,0.000298
100,22870,0.32922,0.18829,0.89848,0.94869,0.93152,0.95746,0.79456,0.80536,0.43976,1.39146,0.000199,0.000199,0.000199
